City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arenapolis,BR,79.02,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
3,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Abu Zabad,SD,73.31,moderate rain,12.35,29.25,حامد محمد نور
7,Lorengau,PG,85.69,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
8,Klaeng,TH,83.16,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
16,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
17,Jamestown,US,71.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
21,Victoria,HK,80.26,moderate rain,22.2855,114.1577,Mini Hotel Central
22,Umm Lajj,SA,85.12,clear sky,25.0213,37.2685,Moon light Furnished Units
23,Ponta Do Sol,PT,69.71,clear sky,32.6667,-17.1,Hotel do Campo
29,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
32,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
35,Kirakira,SB,84.18,scattered clouds,-10.4544,161.9205,SanBiz Lodge
38,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Fernandina Beach,US,76.95,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
44,Arraial Do Cabo,BR,66.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Madison Heights,US,68.25,overcast clouds,42.4859,-83.1052,Red Roof Inn Detroit - Warren
51,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
54,Rikitea,PF,74.41,overcast clouds,-23.1203,-134.9692,People ThankYou
57,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
62,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
63,Banda Aceh,ID,82.31,overcast clouds,5.5577,95.3222,Sulthan Hotel International
66,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Kununurra,AU,91.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
73,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Nanga Eboko,CM,67.1,overcast clouds,4.6833,12.3667,Motel Papi Palace
80,Naze,JP,81.52,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
82,Seoul,KR,67.39,clear sky,37.5683,126.9778,Lotte Hotel Seoul
85,Dayong,CN,83.89,light rain,25.0209,118.2898,Haiyue Express Hotel
88,Namwala,ZM,65.75,clear sky,-15.7504,26.4384,Corner Point Lodge
91,Santa Marta,CO,80.85,overcast clouds,11.2408,-74.199,Casa de Isabella
94,Shiraz,IR,65.64,clear sky,29.6036,52.5388,Kowsar Hotel
95,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
96,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
98,Lagoa,PT,69.15,overcast clouds,39.05,-27.9833,Casa Das Faias
103,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
104,Brownwood,US,80.6,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
105,Port Shepstone,ZA,67.42,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
109,Lompoc,US,68.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
111,Sao Filipe,CV,78.75,overcast clouds,14.8961,-24.4956,Hotel Xaguate
114,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
115,Venado Tuerto,AR,66.78,overcast clouds,-33.7456,-61.9688,Hotel - Miro Park
123,Champerico,GT,86.54,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
131,Ribeira Grande,PT,70.09,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
132,Cabo San Lucas,MX,79.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Porto Belo,BR,73.17,light rain,-27.1578,-48.5531,Costa Verde Beach Hotel
135,Keokuk,US,67.08,overcast clouds,40.3973,-91.3849,Hampton Inn Keokuk
136,Karratha,AU,82.54,clear sky,-20.7377,116.8463,ibis Styles Karratha
