City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,100,75,11.5,broken clouds
1,Ulladulla,AU,-35.35,150.4667,62.1,71,100,5.19,overcast clouds
2,Arenapolis,BR,-14.4503,-56.8461,79.02,75,90,1.97,overcast clouds
3,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
4,Severo-Kurilsk,RU,50.6789,156.125,48.11,69,21,17.49,few clouds
5,Gumdag,TM,39.2061,54.5906,56.23,25,1,20.15,clear sky
6,Abu Zabad,SD,12.35,29.25,73.31,88,100,10.2,moderate rain
7,Lorengau,PG,-2.0226,147.2712,85.69,72,16,8.05,few clouds
8,Klaeng,TH,12.7797,101.6483,83.16,100,100,10.36,overcast clouds
9,Hegang,CN,47.4,130.3667,54.09,49,95,7.25,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,28.63,96,100,8.14,overcast clouds
11,East London,ZA,-33.0153,27.9116,64.54,85,99,4.03,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,42.42,82,75,14.97,broken clouds
13,Gamba,GA,-2.65,10.0,76.53,90,100,6.4,light rain
14,Leningradskiy,RU,69.3833,178.4167,22.93,95,100,5.14,overcast clouds
15,Hermanus,ZA,-34.4187,19.2345,58.89,75,99,5.53,overcast clouds
16,Hilo,US,19.7297,-155.09,83.28,82,90,11.5,light rain
17,Jamestown,US,42.097,-79.2353,71.19,82,90,5.75,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,63.09,83,0,1.99,clear sky
19,Dikson,RU,73.5069,80.5464,26.64,81,31,18.9,scattered clouds
20,Ushuaia,AR,-54.8,-68.3,51.46,50,75,11.5,broken clouds
21,Victoria,HK,22.2855,114.1577,80.26,94,100,1.01,moderate rain
22,Umm Lajj,SA,25.0213,37.2685,85.12,50,0,10.49,clear sky
23,Ponta Do Sol,PT,32.6667,-17.1,69.71,74,0,1.63,clear sky
24,Iwanai,JP,42.9744,140.5089,62.17,57,34,4.09,scattered clouds
25,Bredasdorp,ZA,-34.5322,20.0403,57.27,93,100,0.0,overcast clouds
26,Narsaq,GL,60.9167,-46.05,34.02,72,76,0.76,broken clouds
27,Varnavino,RU,57.4035,45.0916,40.8,73,100,5.97,overcast clouds
28,Norman Wells,CA,65.282,-126.8329,37.44,70,75,14.97,broken clouds
29,Vaini,TO,-21.2,-175.2,77.16,78,20,6.91,few clouds
30,Khatanga,RU,71.9667,102.5,11.17,96,100,7.29,overcast clouds
31,Bethel,US,41.3712,-73.414,62.49,90,1,0.0,clear sky
32,Saint-Pierre,RE,-21.3393,55.4781,73.08,94,90,0.0,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,46.65,63,99,6.17,overcast clouds
34,Meybod,IR,32.2501,54.0166,57.22,12,0,5.57,clear sky
35,Kirakira,SB,-10.4544,161.9205,84.18,69,41,6.89,scattered clouds
36,Tiksi,RU,71.6872,128.8694,19.06,92,85,10.6,overcast clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,60.1,65,90,1.01,fog
38,Saint-Philippe,RE,-21.3585,55.7679,72.99,89,57,7.63,broken clouds
39,Port Alfred,ZA,-33.5906,26.891,60.8,88,23,4.16,few clouds
40,Torbay,CA,47.6666,-52.7314,48.58,97,90,19.57,mist
41,Albany,US,42.6001,-73.9662,63.3,83,4,2.95,clear sky
42,Iqaluit,CA,63.7506,-68.5145,35.33,93,75,23.0,light rain
43,Fernandina Beach,US,30.6697,-81.4626,76.95,81,1,1.99,clear sky
44,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,100,75,10.36,broken clouds
45,Tasiilaq,GL,65.6145,-37.6368,30.36,58,9,3.02,clear sky
46,Wuwei,CN,37.9281,102.6414,49.3,24,100,1.39,overcast clouds
47,Skibbereen,IE,51.55,-9.2667,49.8,88,23,2.24,few clouds
48,Madison Heights,US,42.4859,-83.1052,68.25,79,90,6.91,overcast clouds
49,Pinega,RU,64.7001,43.3936,38.64,90,100,8.48,overcast clouds
50,Busselton,AU,-33.65,115.3333,54.09,61,78,8.14,broken clouds
51,Salalah,OM,17.0151,54.0924,73.49,60,0,2.3,clear sky
52,Bluff,NZ,-46.6,168.3333,46.24,68,100,12.75,overcast clouds
53,Grindavik,IS,63.8424,-22.4338,48.15,100,90,18.41,light intensity drizzle
54,Rikitea,PF,-23.1203,-134.9692,74.41,72,100,8.84,overcast clouds
55,Port Hardy,CA,50.6996,-127.4199,46.58,81,40,6.91,scattered clouds
